place,BOROUGH,borough_code,total_waste,pct_recyc_2019,pct_recyc_2009,pct_change,pct_point_change,raw_recyc2019,raw_recyc2009,raw_refuse2019,raw_refuse2009,raw_waste2019,raw_waste2009,acres,borocd,cd_full_title,fp_100_rent_burden,neighborhoods,pct_bach_deg,pct_foreign_born,poverty_rate,under18_rate,population,Location,income
0,Bronx,203,26854.5,14.363328306242904,7.740897693816438,85.55119670056584,6.622430612426466,3857.2000000000003,1843.1,22997.3,21966.8,26854.5,23809.899999999998,1028.8,203,Bronx Community District 3,0.530688159,"Claremont, Crotona Park East, Melrose, Morrisania",13.3,31.4,30.3,28.9,92015.20057999999,Morrisania,25972.0
1,Bronx,212,58129.9,23.50115861200518,17.00796112147972,38.177400830985334,6.493197490525461,13661.199999999999,9778.199999999999,44468.700000000004,47713.700000000004,58129.9,57491.899999999994,3556.3,212,Bronx Community District 12,0.511169514,"Baychester, Eastchester, Edenwald, Olinville, Wakefield, Williamsbridge, Woodlawn",22.7,40.2,20.9,22.4,150411.0,Williamsbridge,58773.0
2,Brooklyn,304,44156.0,17.424812030075188,11.236289709356507,55.07620825729931,6.188522320718681,7694.099999999999,4979.800000000001,36461.9,39339.1,44156.0,44318.9,1300.9,304,Brooklyn Community District 4,0.0,Bushwick,26.3,32.9,24.8,21.0,140474.0,Bushwick,50656.0
3,Manhattan,110,38520.6,16.651350186653378,10.466165102617317,59.09695694069745,6.1851850840360605,6414.200000000001,4049.5999999999995,32106.399999999998,34642.7,38520.6,38692.299999999996,897.1,110,Manhattan Community District 10,0.45723775299999997,Central Harlem,37.6,23.3,20.2,20.3,147442.0,Central Harlem,49059.0
4,Queens,409,59876.0,23.13514596833456,17.0698984005292,35.53183168106801,6.065247567805358,13852.4,10063.9,46023.6,48893.1,59876.0,58956.999999999985,2459.8,409,Queens Community District 9,0.0,"Kew Gardens, Ozone Park, Richmond Hill, Woodhaven",26.2,50.8,21.5,22.1,152283.0,Woodhaven,69916.0
5,Bronx,202,21047.100000000002,14.884710957804161,8.89384134826231,67.35975350754772,5.990869609541852,3132.8,1987.3999999999996,17914.3,20358.4,21047.100000000002,22345.800000000003,1420.1,202,Bronx Community District 2,0.580417109,"Hunts Point, Longwood",10.3,29.5,31.0,28.4,56830.787039999996,Hunts Point,20966.0
6,Manhattan,109,33324.3,20.461645105823678,14.480979187990444,41.300148561729856,5.9806659178332335,6818.700000000001,5432.799999999999,26505.6,32084.0,33324.3,37516.8,961.7,109,Manhattan Community District 9,0.515575141,"Hamilton Heights, Manhattanville, Morningside Heights, West Harlem",45.1,33.7,20.7,15.4,136017.0,Manhattanville,50048.0
7,Bronx,208,36618.6,24.951254280611497,19.153608673972776,30.269207778672836,5.797645606638721,9136.800000000001,7221.599999999999,27481.800000000003,30482.0,36618.6,37703.6,2113.1,208,Bronx Community District 8,0.517891997,"Fieldston, Kingsbridge, Marble Hill (MN), North Riverdale, Riverdale, Spuyten Duyvil",39.9,34.2,15.8,21.3,113242.0,Riverdale,53986.0
8,Bronx,204,55008.7,13.445327739066732,7.735052233829741,73.8233606266127,5.710275505236991,7396.100000000001,4524.0,47612.600000000006,53962.99999999999,55008.7,58486.99999999999,1275.0,204,Bronx Community District 4,0.617178612,"Concourse, Concourse Village, East Concourse, Highbridge, Mount Eden, West Concourse",15.0,43.1,32.4,27.5,149710.0,Concourse/Highbridge,30900.0
9,Bronx,210,39341.00000000001,24.657482016217177,19.406041596881757,27.060853152964714,5.25144041933542,9700.500000000002,7647.299999999999,29640.5,31759.5,39341.00000000001,39406.799999999996,4124.8,210,Bronx Community District 10,0.419639383,"City Island, Co-op City, Country Club, Edgewater Park, Pelham Bay, Schuylerville, Throgs Neck, Westchester Square",26.6,21.7,14.0,19.0,113395.0,Throgs Neck,59522.0
